PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
20210621_CBASS2_RW6N,2021_June_21,30480,11,11,23,27.50,27.62,27.62,CHL,27.50,28.31,28.31,CHL,27.50,27.69,27.69,CHL,27.50,27.44,27.44,CHL,
20210621_CBASS2_RW6N,2021_June_21,38301,11,11,31,27.50,27.62,27.62,CHL,27.50,28.31,28.31,CHL,27.50,27.69,27.69,CHL,27.50,27.50,27.50,CHL,
20210621_CBASS2_RW6N,2021_June_21,45943,11,11,38,27.50,27.62,27.62,CHL,27.50,28.31,28.31,CHL,27.50,27.69,27.69,CHL,27.50,27.50,27.50,HTR,
20210621_CBASS2_RW6N,2021_June_21,53583,11,11,46,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.75,27.75,CHL,27.50,27.50,27.50,HTR,
20210621_CBASS2_RW6N,2021_June_21,61227,11,11,59,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.75,27.75,CHL,27.50,27.50,27.50,HTR,
20210621_CBASS2_RW6N,2021_June_21,74585,11,12,7,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.75,27.75,CHL,27.50,27.50,27.50,HTR,
20210621_CBASS2_RW6N,2021_June_21,82223,11,12,14,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.75,27.75,CHL,27.50,27.50,27.50,HTR,
20210621_CBASS2_RW6N,2021_June_21,89862,11,12,22,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.75,27.75,CHL,27.50,27.50,27.50,HTR,
20210621_CBASS2_RW6N,2021_June_21,97505,11,12,30,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.75,27.75,CHL,27.50,27.50,27.50,HTR,
20210621_CBASS2_RW6N,2021_June_21,105268,11,12,38,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.75,27.75,CHL,27.50,27.56,27.56,CHL,
20210621_CBASS2_RW6N,2021_June_21,112912,11,12,45,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.75,27.75,CHL,27.50,27.56,27.56,CHL,
20210621_CBASS2_RW6N,2021_June_21,120555,11,12,53,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.75,27.75,CHL,27.50,27.56,27.56,CHL,
20210621_CBASS2_RW6N,2021_June_21,128202,11,13,6,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.69,27.69,HTR,27.50,27.56,27.56,CHL,
20210621_CBASS2_RW6N,2021_June_21,141563,11,13,14,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.75,27.75,CHL,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,149208,11,13,21,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.69,27.69,HTR,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,156853,11,13,29,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.69,27.69,CHL,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,164496,11,13,37,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.69,27.69,CHL,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,172139,11,13,44,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.69,27.69,CHL,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,179783,11,13,52,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.69,27.69,CHL,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,187429,11,14,0,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.69,27.69,CHL,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,195072,11,14,13,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.69,27.69,CHL,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,208433,11,14,21,27.50,27.62,27.62,CHL,27.50,28.31,28.31,CHL,27.50,27.75,27.75,CHL,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,216077,11,14,28,27.50,27.62,27.62,CHL,27.50,28.31,28.31,CHL,27.50,27.69,27.69,HTR,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,223736,11,14,36,27.50,27.62,27.62,CHL,27.50,28.37,28.37,CHL,27.50,27.69,27.69,CHL,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,231379,11,14,44,27.50,27.62,27.62,CHL,27.50,28.31,28.31,CHL,27.50,27.69,27.69,CHL,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,239024,11,14,51,27.50,27.62,27.62,CHL,27.50,28.31,28.31,CHL,27.50,27.75,27.75,CHL,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,246671,11,14,59,27.50,27.62,27.62,CHL,27.50,28.31,28.31,CHL,27.50,27.69,27.69,HTR,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,254313,11,15,7,27.50,27.56,27.56,HTR,27.50,28.31,28.31,CHL,27.50,27.69,27.69,CHL,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,261955,11,15,20,27.50,27.62,27.62,CHL,27.50,28.31,28.31,CHL,27.50,27.69,27.69,CHL,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,275318,11,15,28,27.50,27.56,27.56,HTR,27.50,28.31,28.31,CHL,27.50,27.75,27.75,CHL,27.50,27.62,27.62,CHL,
20210621_CBASS2_RW6N,2021_June_21,282964,11,15,35,27.50,27.56,27.56,CHL,27.50,28.31,28.31,CHL,27.50,27.69,27.69,HTR,27.50,27.56,27.56,HTR,
20210621_CBASS2_RW6N,2021_June_21,290607,11,15,43,27.50,27.56,27.56,CHL,27.50,28.31,28.31,CHL,27.50,27.69,27.69,CHL,27.50,27.56,27.56,CHL,
