PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
20210620_CBASS2_RW5N,2021_June_20,62626,11,39,38,27.50,27.69,27.69,CHL,27.50,29.19,29.19,CHL,27.50,27.50,27.50,CHL,27.50,29.19,29.19,CHL,
20210620_CBASS2_RW5N,2021_June_20,76164,11,39,46,27.50,27.69,27.69,CHL,27.50,29.19,29.19,CHL,27.50,27.50,27.50,HTR,27.50,29.19,29.19,CHL,
20210620_CBASS2_RW5N,2021_June_20,83756,11,39,53,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.50,27.50,HTR,27.50,29.19,29.19,CHL,
20210620_CBASS2_RW5N,2021_June_20,91352,11,40,1,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.50,27.50,HTR,27.50,29.19,29.19,CHL,
20210620_CBASS2_RW5N,2021_June_20,98944,11,40,9,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.50,27.50,HTR,27.50,29.19,29.19,CHL,
20210620_CBASS2_RW5N,2021_June_20,106534,11,40,16,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.56,27.56,CHL,27.50,29.19,29.19,CHL,
20210620_CBASS2_RW5N,2021_June_20,114130,11,40,24,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.56,27.56,CHL,27.50,29.19,29.19,CHL,
20210620_CBASS2_RW5N,2021_June_20,121731,11,40,31,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.62,27.62,CHL,27.50,29.19,29.19,CHL,
20210620_CBASS2_RW5N,2021_June_20,129327,11,40,45,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.62,27.62,CHL,27.50,29.19,29.19,CHL,
20210620_CBASS2_RW5N,2021_June_20,142699,11,40,52,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.62,27.62,CHL,27.50,29.19,29.19,CHL,
20210620_CBASS2_RW5N,2021_June_20,150298,11,41,0,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.69,27.69,CHL,27.50,29.25,29.25,CHL,
20210620_CBASS2_RW5N,2021_June_20,157894,11,41,8,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.69,27.69,CHL,27.50,29.25,29.25,CHL,
20210620_CBASS2_RW5N,2021_June_20,165490,11,41,15,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.69,27.69,CHL,27.50,29.25,29.25,CHL,
20210620_CBASS2_RW5N,2021_June_20,173087,11,41,23,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.69,27.69,CHL,27.50,29.25,29.25,CHL,
20210620_CBASS2_RW5N,2021_June_20,180687,11,41,30,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.69,27.69,CHL,27.50,29.25,29.25,CHL,
20210620_CBASS2_RW5N,2021_June_20,188283,11,41,38,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.69,27.69,CHL,27.50,29.25,29.25,CHL,
20210620_CBASS2_RW5N,2021_June_20,195880,11,41,51,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.69,27.69,CHL,27.50,29.25,29.25,CHL,
20210620_CBASS2_RW5N,2021_June_20,209253,11,41,59,27.50,27.69,27.69,HTR,27.50,29.25,29.25,CHL,27.50,27.69,27.69,CHL,27.50,29.25,29.25,CHL,
20210620_CBASS2_RW5N,2021_June_20,216852,11,42,7,27.50,27.69,27.69,CHL,27.50,29.19,29.19,CHL,27.50,27.69,27.69,CHL,27.50,29.25,29.25,CHL,
20210620_CBASS2_RW5N,2021_June_20,224447,11,42,14,27.50,27.69,27.69,CHL,27.50,29.19,29.19,CHL,27.50,27.69,27.69,CHL,27.50,29.25,29.25,CHL,
20210620_CBASS2_RW5N,2021_June_20,232044,11,42,22,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.69,27.69,CHL,27.50,29.25,29.25,CHL,
20210620_CBASS2_RW5N,2021_June_20,239644,11,42,30,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.69,27.69,CHL,27.50,29.25,29.25,CHL,
20210620_CBASS2_RW5N,2021_June_20,247241,11,42,37,27.50,27.75,27.75,CHL,27.50,29.19,29.19,CHL,27.50,27.69,27.69,CHL,27.50,29.25,29.25,CHL,
