PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
20210621_CBASS2_RW5N,2021_June_21,35075,11,15,6,27.50,27.75,27.75,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,42839,11,15,14,27.50,27.75,27.75,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,CHL,27.50,29.31,29.31,CHL,
20210621_CBASS2_RW5N,2021_June_21,50438,11,15,21,27.50,27.75,27.75,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,58039,11,15,29,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,65638,11,15,42,27.50,27.75,27.75,HTR,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,79013,11,15,50,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,86612,11,15,57,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,94215,11,16,5,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,101812,11,16,13,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,109412,11,16,20,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,117011,11,16,28,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,124614,11,16,35,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,132213,11,16,49,27.50,27.87,27.87,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,145596,11,16,56,27.50,27.87,27.87,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,153198,11,17,4,27.50,27.87,27.87,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,160797,11,17,12,27.50,27.87,27.87,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,HTR,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,168396,11,17,19,27.50,27.87,27.87,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,175995,11,17,27,27.50,27.87,27.87,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,183599,11,17,34,27.50,27.87,27.87,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,HTR,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,191197,11,17,42,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,198795,11,17,55,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,212173,11,18,3,27.50,27.87,27.87,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,219776,11,18,11,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,227374,11,18,18,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,234973,11,18,26,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,HTR,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,242575,11,18,34,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,250174,11,18,41,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,257773,11,18,49,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,265373,11,19,2,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,HTR,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,278753,11,19,10,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,286352,11,19,17,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,293952,11,19,25,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,301551,11,19,33,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,309153,11,19,40,27.50,27.75,27.75,HTR,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,316752,11,19,48,27.50,27.75,27.75,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,324352,11,19,55,27.50,27.75,27.75,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,331954,11,20,9,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,345334,11,20,16,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,HTR,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,352933,11,20,24,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,360532,11,20,32,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,368135,11,20,39,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,375735,11,20,47,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,HTR,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,383333,11,20,54,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,390933,11,21,2,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,HTR,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,398534,11,21,15,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,411912,11,21,23,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,419512,11,21,31,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,427114,11,21,38,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,434742,11,21,46,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,442342,11,21,53,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,449941,11,22,1,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,457542,11,22,9,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,465140,11,22,22,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,478521,11,22,30,27.50,27.75,27.75,HTR,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,486119,11,22,37,27.50,27.75,27.75,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,493721,11,22,45,27.50,27.75,27.75,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,501320,11,22,53,27.50,27.75,27.75,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,508920,11,23,0,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,516523,11,23,8,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,524121,11,23,15,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,531720,11,23,29,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,545100,11,23,36,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,HTR,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,552701,11,23,44,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,560301,11,23,52,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,HTR,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,567899,11,23,59,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,575499,11,24,7,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,583100,11,24,14,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,HTR,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,590698,11,24,22,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.56,27.56,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,598297,11,24,35,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,611678,11,24,43,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,619277,11,24,51,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,626876,11,24,58,27.50,27.81,27.81,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,634476,11,25,6,27.50,27.75,27.75,HTR,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
20210621_CBASS2_RW5N,2021_June_21,642076,11,25,13,27.50,27.75,27.75,CHL,27.50,28.87,28.87,CHL,27.50,27.62,27.62,CHL,27.50,29.37,29.37,CHL,
