Treatment,Exp,Genotype,Tank,FvFm,Heatload30.5
32.9,CBASS,UK19,23,0.493,4.92
32.9,CBASS,UK70,23,0.498,4.92
32.9,CBASS,UK76,23,0.543,4.92
32.9,CBASS,UK80,23,0.52,4.92
28.9,CBASS,LK31,24,,0
28.9,CBASS,LK41,24,0.607,0
28.9,CBASS,LK50,24,0.593,0
28.9,CBASS,LK62,24,0.595,0
28.9,CBASS,UK12,24,0.575,0
28.9,CBASS,UK19,24,0.564,0
28.9,CBASS,UK70,24,0.567,0
28.9,CBASS,UK76,24,0.597,0
28.9,CBASS,UK80,24,0.589,0
35.6,CBASS,LK31,1,0,5.73
35.6,CBASS,LK41,1,0.1,5.73
35.6,CBASS,LK50,1,0.13,5.73
35.6,CBASS,LK62,1,0.084,5.73
35.6,CBASS,LK7,1,0.155,5.73
35.6,CBASS,UK12,1,0.171,5.73
35.6,CBASS,UK19,1,0.073,5.73
35.6,CBASS,UK70,1,0.13,5.73
35.6,CBASS,UK76,1,0.145,5.73
35.6,CBASS,UK80,1,0.116,5.73
32.9,CBASS,LK31,2,0.466,4.92
32.9,CBASS,LK41,2,0.464,4.92
32.9,CBASS,LK50,2,0.457,4.92
32.9,CBASS,LK62,2,0.509,4.92
32.9,CBASS,LK7,2,0.462,4.92
32.9,CBASS,UK12,2,0.531,4.92
32.9,CBASS,UK19,2,0.487,4.92
32.9,CBASS,UK70,2,0.446,4.92
32.9,CBASS,UK76,2,0.507,4.92
32.9,CBASS,UK80,2,0.453,4.92
27.5,CBASS,LK31,3,0.588,0
27.5,CBASS,LK41,3,0.579,0
27.5,CBASS,LK50,3,0.499,0
27.5,CBASS,LK62,3,0.575,0
27.5,CBASS,LK7,3,0.576,0
27.5,CBASS,UK12,3,0.58,0
27.5,CBASS,UK19,3,0.552,0
27.5,CBASS,UK70,3,0.557,0
27.5,CBASS,UK76,3,0.572,0
27.5,CBASS,UK80,3,0.563,0
30.2,CBASS,LK31,4,0.552,0
30.2,CBASS,LK41,4,0.529,0
30.2,CBASS,LK50,4,0.573,0
30.2,CBASS,LK62,4,0.563,0
30.2,CBASS,LK7,4,0.522,0
30.2,CBASS,UK12,4,0.534,0
30.2,CBASS,UK19,4,0.554,0
30.2,CBASS,UK70,4,0.509,0
30.2,CBASS,UK76,4,0.508,0
30.2,CBASS,UK80,4,0.542,0
34.3,CBASS,LK31,5,0.217,5.4
34.3,CBASS,LK41,5,0.257,5.4
34.3,CBASS,LK50,5,0.277,5.4
34.3,CBASS,LK62,5,0.205,5.4
34.3,CBASS,LK7,5,0.315,5.4
34.3,CBASS,UK12,5,0.423,5.4
34.3,CBASS,UK19,5,0.373,5.4
34.3,CBASS,UK70,5,0.252,5.4
34.3,CBASS,UK76,5,0.277,5.4
34.3,CBASS,UK80,5,0.223,5.4
28.9,CBASS,LK31,6,0.562,0
28.9,CBASS,LK41,6,0.578,0
28.9,CBASS,LK50,6,0.563,0
28.9,CBASS,LK62,6,0.586,0
28.9,CBASS,LK7,6,0.551,0
28.9,CBASS,UK12,6,0.595,0
28.9,CBASS,UK19,6,0.524,0
28.9,CBASS,UK70,6,0.55,0
28.9,CBASS,UK76,6,0.548,0
28.9,CBASS,UK80,6,0.56,0
37,CBASS,LK31,7,0,6.08
37,CBASS,LK41,7,0,6.08
37,CBASS,LK50,7,0,6.08
37,CBASS,LK62,7,0,6.08
37,CBASS,LK7,7,0,6.08
37,CBASS,UK12,7,0,6.08
37,CBASS,UK19,7,0,6.08
37,CBASS,UK70,7,0,6.08
37,CBASS,UK76,7,0,6.08
37,CBASS,UK80,7,0,6.08
31.6,CBASS,LK31,8,0.527,4.28
31.6,CBASS,LK41,8,0.516,4.28
31.6,CBASS,LK50,8,0.482,4.28
31.6,CBASS,LK62,8,0.529,4.28
31.6,CBASS,LK7,8,0.49,4.28
31.6,CBASS,UK12,8,0.489,4.28
31.6,CBASS,UK19,8,0.435,4.28
31.6,CBASS,UK70,8,0.482,4.28
31.6,CBASS,UK76,8,0.503,4.28
31.6,CBASS,UK80,8,0.457,4.28
